content,bank,nouns,keywords,vader_compound,tb_polarity,tb_subjectivity,sentiment
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
Thank you,CBE Bank,['thank'],['thank'],0.3612,0.0,0.0,positive
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
best,CBE Bank,[],['best'],0.6369,1.0,0.3,positive
excellent,CBE Bank,['excellent'],['excellent'],0.5719,1.0,1.0,positive
It charges high amount of service charge.,CBE Bank,"['amount', 'service', 'charge']","['charges', 'high', 'amount', 'service', 'charge']",-0.2732,0.16,0.54,negative
nice,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive
easygoing & Convenient to use.,CBE Bank,['convenient'],"['easygoing', 'convenient', 'use']",0.3182,0.0,0.0,positive
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive
saved transactions doesn't work properly it doesn't show transactions before a month only shows recent transactions even after I set filter date range,CBE Bank,"['transactions', 'transactions', 'month', 'transactions', 'date', 'range']","['saved', 'transactions', 'doesn', 'work', 'properly', 'doesn', 'show', 'transactions', 'before', 'month', 'only', 'shows', 'recent', 'transactions', 'even', 'after', 'set', 'filter', 'date', 'range']",0.4215,0.0,0.45,positive
Pleas allow self service on Mobile banking.,CBE Bank,"['pleas', 'service', 'mobile', 'banking']","['pleas', 'allow', 'self', 'service', 'mobile', 'banking']",0.2263,0.0,0.0,positive
i use CBE almost more than 5 years,CBE Bank,"['use', 'cbe', 'years']","['use', 'cbe', 'almost', 'more', 'than', 'years']",0.0,0.5,0.5,neutral
"After update not working at all, I live in abroad.",CBE Bank,[],"['after', 'update', 'not', 'working', 'all', 'live', 'abroad']",0.0,0.13636363636363635,0.5,neutral
this app essential app on this time,CBE Bank,['time'],"['essential', 'time']",0.0,0.0,0.3,neutral
nice,CBE Bank,[],['nice'],0.4215,0.6,1.0,positive
it is not well functional. It always sluggish and poor application. n Not interested because always straggling .,CBE Bank,[],"['not', 'well', 'functional', 'always', 'sluggish', 'poor', 'not', 'interested', 'because', 'always', 'straggling']",-0.8348,-0.2625,0.55,negative
best bank ever,CBE Bank,['bank'],"['best', 'bank', 'ever']",0.6369,1.0,0.3,positive
best app,CBE Bank,[],['best'],0.6369,1.0,0.3,positive
does this app support international transactions,CBE Bank,"['support', 'transactions']","['does', 'support', 'international', 'transactions']",0.4019,0.0,0.0,positive
Why mobile Banking is not functional?,CBE Bank,['banking'],"['why', 'mobile', 'banking', 'not', 'functional']",0.0,0.0,0.0,neutral
"very nice app, but charge more.",CBE Bank,['charge'],"['nice', 'charge', 'more']",0.2609,0.64,0.75,positive
not working,CBE Bank,[],"['not', 'working']",0.0,0.0,0.0,neutral
