content,bank,nouns,keywords,vader_compound,tb_polarity,tb_subjectivity,sentiment,transformer_sentiment_label,transformer_sentiment_score,,score,at
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,3/27/2026
Thank you,CBE Bank,['thank'],['thank'],0.3612,0,0,positive,POSITIVE,0.9998352527618408,,5,3/28/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,3/28/2026
best,CBE Bank,[],['best'],0.6369,1,0.3,positive,POSITIVE,0.9997941851615906,,5,3/28/2026
excellent,CBE Bank,['excellent'],['excellent'],0.5719,1,1,positive,POSITIVE,0.9998434782028198,,5,3/28/2026
It charges high amount of service charge.,CBE Bank,"['amount', 'service', 'charge']","['charges', 'high', 'amount', 'service', 'charge']",-0.2732,0.16,0.54,negative,POSITIVE,0.9774952530860901,,1,3/28/2026
nice,CBE Bank,[],['nice'],0.4215,0.6,1,positive,POSITIVE,0.9998552799224854,,5,3/28/2026
easygoing & Convenient to use.,CBE Bank,['convenient'],"['easygoing', 'convenient', 'use']",0.3182,0,0,positive,POSITIVE,0.9991795420646667,,5,3/29/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,3/29/2026
saved transactions doesn't work properly it doesn't show transactions before a month only shows recent transactions even after I set filter date range,CBE Bank,"['transactions', 'transactions', 'month', 'transactions', 'date', 'range']","['saved', 'transactions', 'doesn', 'work', 'properly', 'doesn', 'show', 'transactions', 'before', 'month', 'only', 'shows', 'recent', 'transactions', 'even', 'after', 'set', 'filter', 'date', 'range']",0.4215,0,0.45,positive,NEGATIVE,-0.996667683,,1,3/29/2026
Pleas allow self service on Mobile banking.,CBE Bank,"['pleas', 'service', 'mobile', 'banking']","['pleas', 'allow', 'self', 'service', 'mobile', 'banking']",0.2263,0,0,positive,NEGATIVE,-0.978442788,,5,3/29/2026
