index,reviewId,content,score,at,bank
0,9e4ef51d-d832-45f2-80c2-b1294d38b4d9,good,5,2026-03-27,CBE Bank
1,515df2eb-bb87-4f47-b365-85b767e24ee2,Thank you,5,2026-03-28,CBE Bank
2,08aa1c98-fcbd-460e-99a5-f0d8c257cb3b,good,5,2026-03-28,CBE Bank
3,4523afaa-69d2-4138-b7a8-b45d4f744007,best,5,2026-03-28,CBE Bank
4,421db8d8-efe2-427a-8d66-e4b1b5264c7a,excellent,5,2026-03-28,CBE Bank
5,64afd113-325b-4ba0-808d-8da838b60f6e,It charges high amount of service charge.,1,2026-03-28,CBE Bank
6,204c76ec-400e-4d53-8256-025a4d815460,nice,5,2026-03-28,CBE Bank
7,926c680b-df44-4ad1-94db-f43219778dc9,easygoing & Convenient to use.,5,2026-03-29,CBE Bank
8,6dc33941-caad-4ed2-9d42-634cdf3d3143,good,5,2026-03-29,CBE Bank
9,28fa66fd-d72c-43e0-a478-c886d6a1f768,saved transactions doesn't work properly it doesn't show transactions before a month only shows recent transactions even after I set filter date range,1,2026-03-29,CBE Bank
10,91130329-684b-45a8-a4fa-5f3944810025,Pleas allow self service on Mobile banking.,5,2026-03-29,CBE Bank
11,ceae0370-683b-409e-9313-522b360a5393,i use CBE almost more than 5 years,3,2026-03-30,CBE Bank
12,b37f9896-79f3-4b0f-a2f3-221f05b18a59,"After update not working at all, I live in abroad.",1,2026-03-30,CBE Bank
13,57af1799-a681-4c52-8c34-d8cb364f1a8c,this app essential app on this time,5,2026-03-30,CBE Bank
14,70cd0784-abc8-45bc-a86a-fe2d04daccbe,nice,1,2026-03-30,CBE Bank
15,eda1934e-59cb-46fb-a470-e68a7543de89,it is not well functional. It always sluggish and poor application. n Not interested because always straggling .,1,2026-03-30,CBE Bank
16,bf81e935-6c4f-4599-a97f-932d117a38c4,best bank ever,5,2026-03-30,CBE Bank
17,c10130df-9664-46e5-b60d-78fa3b93c55b,best app,5,2026-03-30,CBE Bank
18,5be680f9-3c97-41c2-adb9-0b7a6ae4875d,does this app support international transactions,3,2026-03-31,CBE Bank
19,ae4d4a4b-f846-4f7c-8351-fd90d0834dab,Why mobile Banking is not functional?,2,2026-03-31,CBE Bank
20,7a744a61-8a4c-485c-888e-31881e76cc0c,"very nice app, but charge more.",5,2026-03-31,CBE Bank
21,56b75654-cbfb-45bc-b4a9-de3d520685d7,not working,3,2026-03-31,CBE Bank
22,a9afc642-67b2-4a82-b7f3-b029c13b4512,I can't use the app months ago. It stopped working with Mobile data and WiFi. I didn't know the cause. Why this app is not compatible with Android 8?,3,2026-03-31,CBE Bank
23,c7a8f1f6-457c-4b22-8be5-4ed295adb522,very excellent application the number one bank of Ethiopia thanks,5,2026-03-31,CBE Bank
24,fabb0087-9b9b-4848-8689-79256abde043,Good app,5,2026-03-31,CBE Bank
25,c8963a82-191d-4aee-9726-28491cbbc5b9,not working,5,2026-04-01,CBE Bank
26,d162ca5d-6e44-4d50-a184-f5382e891677,it's fast and easy nice,5,2026-04-01,CBE Bank
27,477aca49-9c4e-4980-b1bb-c3c66885ab59,"this platform is very useful for exchanging payment ,than *889#(it's slower ).🙏🙏",5,2026-04-01,CBE Bank
28,be14cdd7-cb58-422d-a032-45af1ae49382,girms,5,2026-04-01,CBE Bank
29,c711ebde-1bff-466a-960c-7c0cf9b7dc3f,best,5,2026-04-01,CBE Bank
30,384cd8a3-51b4-4a85-9ce8-2476fb88faa2,Good,1,2026-04-01,CBE Bank
31,7c28c207-a007-4441-89c9-c40854fed840,good update,5,2026-04-02,CBE Bank
32,104fbffc-b2dd-435c-a91f-1d5270d4d02e,It's a good improvement. the app,5,2026-04-02,CBE Bank
33,4cf50ec7-cc6b-4b47-9632-6a20c8962d77,good,5,2026-04-02,CBE Bank
34,e75fc5e5-d487-461f-af3c-236a2b3d349a,best,5,2026-04-02,CBE Bank
35,c9be33ea-ce9d-49d6-8e0f-2b9c07262c0e,ok,5,2026-04-02,CBE Bank
36,2f6b1a0f-89d0-4948-a96b-80240e99337e,best,5,2026-04-02,CBE Bank
37,693eb7b1-9a9e-496a-ace1-29cc5f9266ac,"This app is very unreliable—slow, frequently crashes, and fails to sync properly. Transactions don’t reflect accurately; I transferred money that was deducted but never received, with no record in recent activity. It often stops working and takes too long to update. Reinstalling doesn’t help. You even have to visit a branch for it to start working, which is unacceptable today. The problem is even worse outside Ethiopia.",1,2026-04-02,CBE Bank
38,7b7ddf3d-92bf-4e3c-bfe2-0e2c57015a7d,Excellent,5,2026-04-02,CBE Bank
39,6e546a77-ff97-4245-b3c1-10feffe8775d,so nice to me,5,2026-04-03,CBE Bank
40,c6a2f42a-10b6-4583-9458-8f4a11e4626e,bad👎,1,2026-04-03,CBE Bank
41,171f09d3-0655-4c94-946a-4fc52055ed07,very much for your information 👋,5,2026-04-03,CBE Bank
42,77dd2bb9-e5b9-4c96-a0d1-6457f5d4781e,nice app keep it up🤝🤝,5,2026-04-03,CBE Bank
43,144ba6f7-8fe3-419b-b3f7-bd373f52a82c,i like this app,5,2026-04-04,CBE Bank
44,f7fbe136-ff59-48b2-abfa-8af7aa2451d8,WOW!,4,2026-04-04,CBE Bank
45,cef5db47-7f04-4ff7-b685-a28266c0166a,good,5,2026-04-04,CBE Bank
46,47dfdd7f-0b07-49cb-bf29-5b17529012e0,I love this app,5,2026-04-04,CBE Bank
47,4afe83d4-808e-4064-acf7-89d821645236,i have more experience,5,2026-04-04,CBE Bank
48,52105918-0a95-47fc-b5f2-0dd687bf35b8,the app freezes sometimes and crashing,1,2026-04-04,CBE Bank
49,d45c4824-fe3f-42de-9f85-4b86a49ff02f,for active payment it's number one chose,5,2026-04-04,CBE Bank
50,9fe30e82-9236-4a68-a458-88211edf64dd,Very good Service provider bank,5,2026-04-04,CBE Bank
51,95bed553-4cdc-49ac-9c7d-62574492cc17,"What a nasty Update is this !. May I say 'Events cast their shadow before happenings'. Trust, value, Bank's 'n' Customers' financial property, such like things, at risk once again(the State owned Bank experienced some months ago due to app development issues or some other unknown reasons. Unable to see my own current balance due to a hidden page being displayed, stacked transaction history since March 26th, among others. Is that a Banking app being developed by Professionals ?.",1,2026-04-04,CBE Bank
52,e7e7cfc9-ef9f-47f3-ab92-7bd1044e0b75,it is not working,1,2026-04-04,CBE Bank
53,ee369008-e336-42d5-a473-ebaa65b1db57,nice,5,2026-04-05,CBE Bank
54,4277b1f3-623c-4b2a-94f6-c146752d6678,Thank you for your service.,1,2026-04-05,CBE Bank
55,c82a27d4-1ee0-4d6d-a0d4-77eef25c0554,good 👍,5,2026-04-05,CBE Bank
56,3f01f495-4349-455d-8ce4-782fad8e9a39,wow,5,2026-04-05,CBE Bank
57,ff1828ed-86dd-45df-9659-a2a43b82aff7,good,3,2026-04-05,CBE Bank
58,f0c6c003-2f17-40d4-b349-59f170ca6f22,good,5,2026-04-05,CBE Bank
59,7ced70bf-809e-4f5e-aa15-3d097c34c0ea,nice,4,2026-04-06,CBE Bank
